municipality,stratum,ind,hh
1,12000,1546,609
2,12000,936,402
3,12000,367,178
4,10000,13032,5788
5,12000,678,281
6,11000,3193,1194
7,12000,1506,641
8,9000,92833,40295
9,12000,614,222
10,12000,1876,828
11,10000,18909,8286
12,11000,2467,1103
13,10000,14283,6468
14,12000,365,146
15,11000,7023,3193
16,11000,2454,997
17,11000,4917,2087
18,11000,2106,883
19,11000,6070,2477
20,12000,1362,605
21,11000,2537,1056
22,11000,4682,1968
23,11000,3072,1236
24,11000,2034,871
25,12000,575,271
26,12000,1236,534
27,11000,2115,833
28,11000,3049,1243
29,11000,4655,2153
30,11000,2507,1010
31,11000,3121,1352
32,12000,826,404
33,11000,2352,910
34,11000,2954,1216
35,12000,1543,689
36,12000,812,346
37,11000,4686,2001
38,11000,4526,2093
39,11000,2374,981
40,10000,15638,6932
41,10000,10507,4778
42,11000,3562,1457
43,12000,325,114
44,12000,1372,545
45,12000,1151,518
46,11000,4564,1832
47,11000,2711,1052
48,11000,2405,1123
49,12000,790,317
50,12000,1500,592
51,10000,33661,15953
52,11000,2612,1066
53,12000,1486,645
54,12000,1919,693
55,12000,1738,800
56,11000,5172,2214
57,11000,2763,1147
58,12000,1752,822
59,11000,3528,1433
60,11000,3243,1475
61,11000,4308,1822
62,11000,3311,1397
63,12000,1399,591
64,12000,639,257
65,12000,166,76
66,12000,1663,768
67,11000,3133,1325
68,12000,548,230
69,12000,237,88
70,11000,4024,1603
71,11000,2617,1043
72,11000,7040,2846
73,12000,1192,482
74,11000,2686,1109
75,12000,1098,436
76,11000,3222,1449
77,11000,2924,1233
78,11000,2793,1082
79,11000,3245,1262
80,11000,3535,1425
81,12000,1553,586
82,11000,2894,1164
83,12000,1451,570
84,12000,1769,760
85,11000,6339,2644
86,11000,2619,1042
87,12000,1342,494
88,11000,2428,949
89,12000,1169,464
90,12000,1746,733
91,11000,5382,2301
92,12000,1593,673
93,12000,1043,458
94,12000,1601,602
95,11000,3916,1690
96,11000,3017,1328
97,12000,1706,739
98,12000,884,375
99,11000,2217,967
100,12000,936,414
101,12000,858,355
102,11000,2631,1032
103,12000,899,402
104,11000,2792,1170
105,11000,2575,1093
106,11000,5440,2093
107,11000,2068,735
108,11000,2997,1196
109,11000,3945,1706
110,12000,856,318
111,12000,1380,596
112,12000,1709,665
113,11000,5802,2722
114,11000,2546,976
115,12000,1227,444
116,12000,718,291
117,15000,8014,3428
118,16000,1383,572
119,15000,2828,1241
120,16000,958,454
121,14000,15642,7101
122,15000,3750,1578
123,15000,4538,2022
124,16000,1380,625
125,15000,2402,1059
126,16000,381,198
127,16000,1395,622
128,16000,364,179
129,16000,619,295
130,15000,6292,2855
131,15000,3557,1631
132,16000,238,120
133,16000,676,297
134,16000,604,296
135,16000,310,138
136,16000,1257,585
137,16000,1005,445
138,15000,3302,1499
139,16000,1608,742
140,16000,674,308
141,16000,1378,603
142,16000,1410,723
143,16000,1744,793
144,16000,540,250
145,16000,998,430
146,16000,886,405
147,16000,466,201
148,16000,219,118
149,16000,577,264
150,15000,2109,964
151,16000,1144,645
152,16000,949,400
153,15000,3745,1715
154,16000,953,418
155,16000,458,237
156,15000,2715,1195
157,16000,237,104
158,16000,665,297
159,16000,343,202
160,16000,292,128
161,15000,3658,1595
162,15000,6200,2849
163,16000,633,254
164,16000,923,410
165,16000,641,270
166,16000,590,288
167,16000,399,167
168,16000,1148,500
169,16000,525,239
170,15000,4369,1979
171,16000,573,239
172,16000,838,392
173,16000,992,459
174,16000,443,177
175,15000,2915,1512
176,16000,1273,574
177,16000,1217,512
178,16000,320,144
179,16000,312,163
180,15000,2322,962
181,16000,677,316
182,15000,2058,938
183,16000,1091,495
184,15000,2044,878
185,16000,1059,530
186,15000,7975,3358
187,15000,7004,3224
188,16000,807,351
189,16000,780,333
190,16000,251,141
191,16000,1924,934
192,16000,407,185
193,16000,113,62
194,16000,494,229
195,16000,834,385
196,16000,1507,679
197,15000,4803,2182
198,15000,6315,2864
199,15000,2473,1141
200,16000,1056,496
201,15000,8746,3875
202,15000,2556,1194
203,16000,1885,827
204,16000,1187,522
205,16000,984,427
206,16000,761,324
207,16000,793,363
208,16000,156,89
209,16000,764,339
210,16000,881,435
211,16000,1729,809
212,16000,679,360
213,16000,359,165
214,14000,18866,8311
215,16000,607,324
216,15000,2861,1329
217,15000,2245,966
218,15000,4165,1884
219,16000,1288,606
220,16000,1143,492
221,14000,15045,6971
222,16000,563,258
223,16000,1285,581
224,15000,2642,1192
225,16000,399,179
226,16000,389,192
227,16000,1472,641
228,14000,34430,15507
229,16000,391,209
230,16000,765,340
231,16000,176,88
232,16000,510,221
233,15000,2709,1211
234,16000,996,438
235,16000,831,376
236,16000,688,307
237,16000,1308,573
238,16000,1383,587
239,16000,312,146
240,16000,659,255
241,16000,782,361
242,16000,1127,515
243,16000,1156,506
244,16000,654,281
245,16000,1075,516
246,15000,4264,1784
247,16000,500,258
248,16000,1770,783
249,16000,554,261
250,16000,949,428
251,16000,1809,858
252,16000,664,339
253,16000,580,277
254,15000,2669,1158
255,15000,3281,1447
256,16000,1223,525
257,16000,663,285
258,16000,1326,589
259,13000,102933,43199
260,16000,468,246
261,16000,1256,619
262,16000,793,380
263,16000,1744,778
264,16000,145,71
265,15000,3444,1493
266,15000,2901,1275
267,16000,1602,703
268,15000,2631,1152
269,15000,4945,2210
270,15000,5963,2561
271,16000,1481,679
272,16000,1135,517
273,16000,1998,941
274,16000,1361,639
275,16000,1529,670
276,15000,4536,2050
277,16000,474,213
278,16000,1826,792
279,16000,655,287
280,15000,3005,1304
281,15000,2079,890
282,16000,1299,586
283,15000,2643,1143
284,16000,1599,716
285,15000,4858,2242
286,15000,2743,1179
287,16000,1338,609
288,15000,4556,2054
289,15000,4532,1913
290,15000,3170,1353
291,15000,2858,1208
292,2000,24794,10578
293,2000,19609,8256
294,3000,3938,1545
295,3000,4596,1859
296,3000,2247,1030
297,3000,3919,1687
298,3000,2900,1228
299,3000,2964,1224
300,2000,13897,6010
301,4000,996,463
302,3000,3172,1310
303,3000,6880,3135
304,2000,36195,15266
305,3000,3061,1336
306,2000,18835,8061
307,4000,1130,517
308,3000,8606,3668
309,1000,50845,21496
310,3000,2459,1085
311,4000,1704,690
312,3000,3422,1367
313,3000,5580,2225
314,2000,13798,5993
315,2000,29376,12031
316,4000,526,225
317,2000,13419,5682
318,2000,17080,6837
319,3000,3409,1462
320,4000,1406,627
321,3000,5163,2172
322,4000,547,263
323,4000,1071,440
324,4000,1500,616
325,3000,5310,2362
326,3000,4460,1961
327,4000,878,416
328,3000,5091,2157
329,3000,5167,2260
330,1000,146162,57816
331,3000,3305,1371
332,4000,1954,912
333,4000,106,72
334,4000,634,344
335,2000,10436,4411
336,4000,513,248
337,4000,1278,608
338,4000,410,207
339,4000,988,494
340,3000,2211,983
341,3000,7864,3363
342,2000,34156,14624
343,2000,15043,6536
344,3000,6074,2515
345,3000,7504,3094
346,3000,3418,1546
347,2000,14818,6151
348,3000,3093,1300
349,4000,332,172
350,4000,1268,560
351,7000,4225,1873
352,8000,1649,750
353,8000,1376,570
354,6000,10667,4818
355,7000,2510,1139
356,8000,1706,783
357,7000,2485,1145
358,8000,1663,741
359,8000,1944,895
360,7000,2693,1227
361,7000,2593,1144
362,8000,1691,797
363,8000,1481,686
364,8000,1740,826
365,8000,1666,745
366,8000,1388,604
367,7000,4503,1909
368,8000,1510,691
369,8000,1139,515
370,8000,1088,487
371,8000,1343,637
372,6000,17806,7952
373,6000,18745,8355
374,8000,1682,787
375,8000,488,255
376,8000,991,464
377,8000,215,119
378,8000,1758,767
379,7000,4610,2012
380,5000,2000,844
381,7000,4436,2033
382,5000,99067,42700
383,7000,2315,997
384,20000,1376,653
385,19000,2231,972
386,20000,1343,570
387,20000,1564,689
388,20000,581,281
389,19000,3477,1486
390,18000,10750,4118
391,20000,1642,670
392,20000,1238,572
393,19000,2427,1046
394,19000,2599,1076
395,19000,4663,1909
396,19000,3635,1472
397,20000,842,364
398,20000,1791,806
399,20000,361,178
400,20000,762,339
401,20000,1213,532
402,20000,604,280
403,20000,271,163
404,20000,834,407
405,20000,1955,854
406,20000,760,339
407,20000,758,365
408,20000,1297,543
409,20000,981,525
410,20000,604,312
411,20000,1739,789
412,19000,2299,1109
413,20000,1281,559
414,20000,554,265
415,19000,2745,1189
416,20000,1932,883
417,20000,790,368
418,19000,5262,2129
419,20000,1566,728
420,20000,500,240
421,19000,5186,2108
422,19000,4204,1821
423,20000,1679,769
424,18000,12137,4696
425,18000,12356,4936
426,19000,4636,2006
427,19000,3830,1677
428,19000,4895,1969
429,20000,1498,703
430,18000,16095,6313
431,20000,464,247
432,19000,3732,1559
433,20000,1482,669
434,20000,1156,492
435,19000,4987,2064
436,20000,1381,569
437,20000,784,401
438,19000,3507,1421
439,19000,4436,1860
440,20000,1774,764
441,19000,5527,2197
442,19000,3850,1697
443,20000,948,478
444,19000,6248,2394
445,17000,61117,23848
446,19000,3954,1668
447,20000,914,417
448,18000,12094,4976
449,20000,1575,694
450,19000,2522,1111
451,20000,1402,622
452,19000,3178,1332
453,19000,3231,1321
454,20000,978,460
455,20000,1287,589
456,20000,991,498
457,20000,675,377
458,19000,2752,1319
459,20000,716,348
460,20000,1434,645
461,20000,1283,547
462,19000,5826,2433
463,20000,1282,524
464,20000,722,334
465,19000,2151,868
466,20000,1041,450
467,19000,6464,2556
468,20000,1373,571
469,20000,563,255
470,20000,1127,562
471,19000,6610,2630
472,19000,3032,1261
473,19000,2849,1139
474,19000,2104,1007
475,20000,625,305
476,20000,1881,841
477,18000,10823,4261
478,19000,2584,1014
479,19000,2768,1279
480,19000,2948,1215
481,20000,679,303
482,19000,3034,1333
483,24000,1715,842
484,24000,943,451
485,22000,10920,4526
486,24000,721,345
487,24000,301,167
488,24000,1142,531
489,24000,622,310
490,23000,8066,3318
491,24000,979,420
492,24000,893,417
493,23000,4764,2007
494,23000,2047,897
495,23000,4497,1922
496,21000,55144,21145
497,23000,2327,979
498,23000,6632,2717
499,23000,8871,3472
500,23000,6021,2468
501,24000,426,223
502,22000,15683,6622
503,22000,15188,6089
504,23000,3780,1671
505,23000,2372,1090
506,23000,2587,1079
507,24000,1101,527
508,24000,1324,676
509,23000,4077,1895
510,23000,4961,2101
511,23000,4593,2014
512,24000,1400,625
513,23000,6570,2662
